Year,Rnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,W,L,ERA,WHIP,SV,Type,Drafted Out of,Team Made Playoffs
2006,1,39,Indians,Y,900000.0,David Huff,LHP,-1.8,120.0,25.0,30.0,5.17,1.51,0.0,4Yr,"University of California, Los Angeles (Los Angeles, CA)",0
2006,1,40,Red Sox,Y,850000.0,Kris Johnson,LHP,0.0,7.0,0.0,3.0,5.32,1.77,0.0,4Yr,"Wichita State University (Wichita, KS)",0
2006,1,41,Yankees,Y,1150000.0,Joba Chamberlain,RHP,7.6,385.0,25.0,21.0,3.81,1.38,7.0,4Yr,"University of Nebraska-Lincoln (Lincoln, NE)",1
2006,1,42,Cardinals,Y,800000.0,Chris Perez,RHP,4.7,393.0,16.0,24.0,3.51,1.24,133.0,4Yr,"University of Miami (Coral Gables, FL)",1
2006,1,43,Braves,Y,800000.0,Steve Evarts,LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"T. R. Robinson HS (Tampa, FL)",0
2006,1,44,Red Sox,Y,775000.0,Caleb Clay,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Cullman HS (Cullman, AL)",0
2007,1,1,Devil Rays,Y,5600000.0,David Price,LHP,39.6,379.0,155.0,82.0,3.33,1.16,1.0,4Yr,"Vanderbilt University (Nashville, TN)",0
2007,1,4,Pirates,Y,2475000.0,Daniel Moskos,LHP,0.2,31.0,1.0,1.0,2.96,1.56,0.0,4Yr,"Clemson University (Clemson, SC)",0
2007,1,6,Nationals,Y,2150000.0,Ross Detwiler,LHP,0.4,293.0,30.0,51.0,4.56,1.46,1.0,4Yr,"Missouri State University (Springfield, MO)",0
2007,1,8,Rockies,Y,1800000.0,Casey Weathers,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Vanderbilt University (Nashville, TN)",1
2007,1,9,Diamondbacks,Y,2100000.0,Jarrod Parker,RHP,6.5,62.0,25.0,16.0,3.68,1.24,0.0,HS,"Norwell HS (Ossian, IN)",1
2007,1,10,Giants,Y,2000000.0,Madison Bumgarner,LHP,39.7,341.0,131.0,114.0,3.33,1.13,0.0,HS,"South Caldwell HS (Hudson, NC)",0
2007,1,11,Mariners,Y,1900000.0,Phillippe Aumont,RHP,-0.7,46.0,1.0,6.0,6.8,1.99,2.0,HS,"Ecole Du Versant (Gatineau, QC)",0
2007,1,17,Rangers ,Y,1497000.0,Blake Beavan,RHP,1.7,54.0,16.0,20.0,4.61,1.27,0.0,HS,"Irving HS (Irving, TX)",0
2007,1,19,Phillies,Y,1372500.0,Joe Savery,LHP,-0.1,44.0,3.0,2.0,3.83,1.26,0.0,4Yr,"Rice University (Houston, TX)",1
2007,1,20,Dodgers ,Y,1350000.0,Chris Withrow,RHP,1.4,92.0,6.0,0.0,3.07,1.14,1.0,HS,"Midland HS (Midland, TX)",0
2007,1,22,Giants ,Y,1290000.0,Tim Alderson,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Horizon HS (Scottsdale, AZ)",0
2007,1,23,Padres,Y,1260000.0,Nick Schmidt,LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Arkansas (Fayetteville, AR)",0
2007,1,24,Rangers ,Y,1237500.0,Michael Main,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"DeLand HS (DeLand, FL)",0
2007,1,25,White Sox,Y,1200000.0,Aaron Poreda,LHP,0.2,40.0,3.0,1.0,4.67,1.73,0.0,4Yr,"University of San Francisco (San Francisco, CA)",0
