year,league_id,team_id,franchise_id,div_id,rank,g,ghome,w,l,div_win,wc_win,lg_win,ws_win,r,ab,h,double,triple,hr,bb,so,sb,cs,hbp,sf,ra,er,era,cg,sho,sv,ipouts,ha,hra,bba,soa,e,dp,fp,name,park,attendance,bpf,ppf,team_id_br,team_id_lahman45,team_id_retro,make_playoffs_wild_card,make_playoffs_win_division,make_playoffs_win_league,make_playoffs_win_worldseries,make_playoffs
2001,AL,TBA,TBD,E,5,162,81.0,62,100,N,N,N,N,672,5524,1426,311,21,121,456,1116.0,115.0,52.0,54.0,25.0,887,781,4.94,1,6,30,4271,1513,207,569,1030,139,144.0,0.977,Tampa Bay Devil Rays,Tropicana Field,1298365.0,98,100,TBD,TBA,TBA,False,False,False,False,False
2001,AL,TEX,TEX,W,4,162,82.0,73,89,N,N,N,N,890,5685,1566,326,23,246,548,1093.0,97.0,32.0,75.0,55.0,968,913,5.71,4,3,37,4315,1670,222,596,951,114,167.0,0.981,Texas Rangers,The Ballpark at Arlington,2831021.0,104,105,TEX,TEX,TEX,False,False,False,False,False
2001,AL,TOR,TOR,E,3,162,82.0,80,82,N,N,N,N,767,5663,1489,287,36,195,470,1094.0,156.0,55.0,74.0,43.0,753,696,4.28,7,10,41,4388,1553,165,490,1041,97,184.0,0.985,Toronto Blue Jays,Skydome,1915438.0,102,103,TOR,TOR,TOR,False,False,False,False,False
2002,AL,ANA,ANA,W,2,162,81.0,99,63,N,Y,Y,Y,851,5678,1603,333,32,152,462,805.0,117.0,51.0,74.0,64.0,644,595,3.69,7,14,54,4357,1345,169,509,999,87,151.0,0.986,Anaheim Angels,Edison International Field,2305547.0,100,99,ANA,ANA,ANA,True,False,True,True,True
2002,NL,ARI,ARI,W,1,162,81.0,98,64,Y,N,N,N,819,5508,1471,283,41,165,643,1016.0,92.0,46.0,50.0,53.0,674,630,3.92,14,10,40,4340,1361,170,421,1303,89,116.0,0.985,Arizona Diamondbacks,Bank One Ballpark,3198977.0,111,111,ARI,ARI,ARI,False,True,False,False,True
2002,NL,ATL,ATL,E,1,161,81.0,101,59,Y,N,N,N,708,5495,1428,280,25,164,558,1028.0,76.0,39.0,54.0,49.0,565,511,3.13,3,15,57,4402,1302,123,554,1058,114,170.0,0.982,Atlanta Braves,Turner Field,2603484.0,102,101,ATL,ATL,ATL,False,True,False,False,True
2002,AL,BAL,BAL,E,4,162,81.0,67,95,N,N,N,N,667,5491,1353,311,27,165,452,993.0,110.0,48.0,64.0,49.0,773,719,4.46,8,3,31,4352,1491,208,549,967,91,173.0,0.985,Baltimore Orioles,Oriole Park at Camden Yards,2682439.0,95,96,BAL,BAL,BAL,False,False,False,False,False
2002,AL,BOS,BOS,E,2,162,81.0,93,69,N,N,N,N,859,5640,1560,348,33,177,545,944.0,80.0,28.0,72.0,53.0,665,603,3.75,5,17,51,4338,1339,146,430,1157,104,140.0,0.983,Boston Red Sox,Fenway Park II,2650862.0,103,102,BOS,BOS,BOS,False,False,False,False,False
2002,AL,CHA,CHW,C,2,162,81.0,81,81,N,N,N,N,856,5502,1475,289,29,217,555,952.0,75.0,31.0,49.0,53.0,798,716,4.53,7,7,35,4269,1422,190,528,945,97,157.0,0.984,Chicago White Sox,Comiskey Park II,1676911.0,102,101,CHW,CHA,CHA,False,False,False,False,False
2002,NL,CHN,CHC,C,5,162,78.0,67,95,N,N,N,N,706,5496,1351,259,29,200,585,1269.0,63.0,21.0,44.0,39.0,759,687,4.29,11,9,23,4324,1373,167,606,1333,114,144.0,0.981,Chicago Cubs,Wrigley Field,2693096.0,98,98,CHC,CHN,CHN,False,False,False,False,False
2002,NL,CIN,CIN,C,3,162,80.0,78,84,N,N,N,N,709,5470,1386,297,21,169,583,1188.0,116.0,52.0,66.0,40.0,774,690,4.27,2,8,42,4361,1502,173,550,980,120,169.0,0.981,Cincinnati Reds,Cinergy Field,1855787.0,104,105,CIN,CIN,CIN,False,False,False,False,False
2002,AL,CLE,CLE,C,3,162,81.0,74,88,N,N,N,N,739,5423,1349,255,26,192,542,1000.0,52.0,37.0,56.0,39.0,837,777,4.91,9,4,34,4274,1508,142,603,1058,113,161.0,0.981,Cleveland Indians,Jacobs Field,2616940.0,97,98,CLE,CLE,CLE,False,False,False,False,False
2002,NL,COL,COL,W,4,162,81.0,73,89,N,N,N,N,778,5512,1508,283,41,152,497,1043.0,103.0,53.0,56.0,50.0,898,825,5.2,1,8,43,4280,1554,225,582,920,112,158.0,0.982,Colorado Rockies,Coors Field,2737838.0,116,116,COL,COL,COL,False,False,False,False,False
2002,AL,DET,DET,C,5,161,80.0,55,106,N,N,N,N,575,5406,1340,265,37,124,363,1035.0,65.0,44.0,64.0,57.0,864,773,4.92,11,7,33,4242,1593,163,463,794,142,148.0,0.977,Detroit Tigers,Comerica Park,1503623.0,92,95,DET,DET,DET,False,False,False,False,False
2002,NL,FLO,FLA,E,4,162,81.0,79,83,N,N,N,N,699,5496,1433,280,32,146,595,1130.0,177.0,73.0,61.0,49.0,763,706,4.36,11,12,36,4369,1449,151,631,1104,106,163.0,0.983,Florida Marlins,Pro Player Stadium,813118.0,97,98,FLA,FLO,FLO,False,False,False,False,False
2002,NL,HOU,HOU,C,2,162,81.0,84,78,N,N,N,N,749,5503,1441,291,32,167,589,1120.0,71.0,27.0,59.0,37.0,695,642,4.0,2,11,43,4335,1423,151,546,1219,83,149.0,0.986,Houston Astros,Minute Maid Park,2517357.0,106,105,HOU,HOU,HOU,False,False,False,False,False
2002,AL,KCA,KCR,C,4,162,77.0,62,100,N,N,N,N,737,5535,1415,285,42,140,524,921.0,140.0,65.0,52.0,51.0,891,834,5.21,12,6,30,4323,1587,212,572,909,130,153.0,0.979,Kansas City Royals,Kauffman Stadium,1323036.0,110,111,KCR,KCA,KCA,False,False,False,False,False
2002,NL,LAN,LAD,W,3,162,81.0,92,70,N,N,N,N,713,5554,1464,286,29,155,428,940.0,96.0,37.0,53.0,44.0,643,598,3.69,4,15,56,4373,1311,165,555,1132,90,134.0,0.985,Los Angeles Dodgers,Dodger Stadium,3131255.0,92,92,LAD,LAN,LAN,False,False,False,False,False
2002,NL,MIL,MIL,C,6,162,81.0,56,106,N,N,N,N,627,5415,1369,269,29,139,500,1125.0,94.0,50.0,55.0,34.0,821,752,4.73,7,4,32,4297,1468,199,666,1026,103,154.0,0.983,Milwaukee Brewers,Miller Park,1969153.0,98,99,MIL,ML4,MIL,False,False,False,False,False
2002,AL,MIN,MIN,C,1,161,81.0,94,67,Y,N,N,N,768,5582,1518,348,36,167,472,1089.0,79.0,62.0,56.0,52.0,712,662,4.12,8,9,47,4334,1454,184,439,1026,74,124.0,0.987,Minnesota Twins,Hubert H Humphrey Metrodome,1924473.0,100,100,MIN,MIN,MIN,False,True,False,False,True
2002,NL,MON,WSN,E,2,162,81.0,83,79,N,N,N,N,735,5479,1432,300,36,162,575,1104.0,118.0,64.0,46.0,42.0,718,641,3.97,9,3,39,4359,1475,165,508,1088,139,160.0,0.978,Montreal Expos,Stade Olympique,812045.0,103,103,MON,MON,MON,False,False,False,False,False
2002,AL,NYA,NYY,E,1,161,80.0,103,58,Y,N,N,N,897,5601,1540,314,12,223,640,1171.0,100.0,38.0,72.0,41.0,697,625,3.87,9,11,53,4356,1441,144,403,1135,127,117.0,0.979,New York Yankees,Yankee Stadium II,3465807.0,100,99,NYY,NYA,NYA,False,True,False,False,True
2002,NL,NYN,NYM,E,5,161,78.0,75,86,N,N,N,N,690,5496,1409,238,22,160,486,1044.0,87.0,42.0,63.0,30.0,703,624,3.89,9,10,36,4328,1408,163,543,1107,144,138.0,0.976,New York Mets,Shea Stadium,2804838.0,97,97,NYM,NYN,NYN,False,False,False,False,False
2002,AL,OAK,OAK,W,1,162,81.0,103,59,Y,N,N,N,800,5558,1450,279,28,205,609,1008.0,46.0,20.0,68.0,36.0,654,593,3.68,9,19,48,4356,1391,135,474,1021,102,144.0,0.984,Oakland Athletics,Oakland Coliseum,2169811.0,98,97,OAK,OAK,OAK,False,True,False,False,True
