Name,Year,OvPck,RdPck,Rnd,Tm,Pos,DT,FrRnd,Signed,Bonus,WAR,G,AB,HR,BA,OPS,Type,Drafted Out of
*Travis Jankowski(minors),2012,44,44,1s,Padres,OF,0.0,FrRnd,Y,"$975,000 ",2.7,459.0,1058.0,9.0,0.238,0.634,4Yr,"State University of New York at Stony Brook (Stony Brook, NY)"
*Barrett Barnes(minors),2012,45,45,1s,Pirates,OF,0.0,FrRnd,Y,"$1,000,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Texas Tech University (Lubbock, TX)"
*Matt Olson(minors),2012,47,47,1s,Athletics,1B,0.0,FrRnd,Y,"$1,079,700 ",19.8,656.0,2357.0,154.0,0.252,0.853,HS,"Parkview HS (Lilburn, GA)"
*Keon Barnum(minors),2012,48,48,1s,White Sox,1B,0.0,FrRnd,Y,"$950,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"C. Leon King HS (Tampa, FL)"
*Jesse Winker(minors),2012,49,49,1s,Reds,RF,0.0,FrRnd,Y,"$1,000,000 ",5.2,492.0,1591.0,72.0,0.277,0.851,HS,"Olympia HS (Orlando, FL)"
*Jesmuel Valentin(minors),2012,51,51,1s,Dodgers,SS,0.0,FrRnd,Y,"$984,700 ",-0.7,46.0,79.0,1.0,0.177,0.562,HS,"Puerto Rico Baseball Academy (Gurabo, Puerto Rico)"
*Patrick Wisdom(minors),2012,52,52,1s,Cardinals,3B,0.0,FrRnd,Y,"$678,790 ",3.3,225.0,690.0,49.0,0.229,0.794,4Yr,"Saint Mary's College of California (Moraga, CA)"
*Jeff Gelalich(minors),2012,57,57,1s,Reds,OF,0.0,FrRnd,Y,"$825,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of California, Los Angeles (Los Angeles, CA)"
*Mitch Nay(minors),2012,58,58,1s,Blue Jays,3B,0.0,FrRnd,Y,"$1,000,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Hamilton HS (Chandler, AZ)"
*Steve Bean(minors),2012,59,59,1s,Cardinals,C,0.0,FrRnd,Y,"$700,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Rockwall HS (Rockwall, TX)"
Kris Bryant(minors),2013,2,2,1,Cubs,3B,0.0,FrRnd,Y,"$6,708,400 ",28.5,907.0,3375.0,167.0,0.278,0.875,4Yr,"University of San Diego (San Diego, CA)"
Jackson Frazier(minors),2013,5,5,1,Indians,3B,0.0,FrRnd,Y,"$3,500,000 ",0.2,247.0,744.0,29.0,0.238,0.756,HS,"Loganville HS (Loganville, GA)"
Colin Moran(minors),2013,6,6,1,Marlins,3B,0.0,FrRnd,Y,"$3,516,500 ",-0.2,497.0,1511.0,49.0,0.263,0.742,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)"
Hunter Dozier(minors),2013,8,8,1,Royals,SS,0.0,FrRnd,Y,"$2,200,000 ",-1.4,506.0,1804.0,67.0,0.244,0.748,4Yr,"Stephen F. Austin State University (Nacogdoches, TX)"
*Austin Meadows(minors),2013,9,9,1,Pirates,CF,0.0,FrRnd,Y,"$3,029,600 ",6.7,411.0,1486.0,70.0,0.259,0.809,HS,"Grayson HS (Loganville, GA)"
Dominic Smith(minors),2013,11,11,1,Mets,1B,0.0,FrRnd,Y,"$2,600,000 ",0.6,437.0,1217.0,46.0,0.249,0.74,HS,"Junipero Serra HS (Gardena, CA)"
D.J. Peterson(minors),2013,12,12,1,Mariners,3B,0.0,FrRnd,Y,"$2,759,100 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of New Mexico (Albuquerque, NM)"
Hunter Renfroe(minors),2013,13,13,1,Padres,RF,0.0,FrRnd,Y,"$2,678,000 ",9.5,630.0,2164.0,141.0,0.238,0.787,4Yr,"Mississippi State University (Mississippi State, MS)"
Reese McGuire(minors),2013,14,14,1,Pirates,C,0.0,FrRnd,Y,"$2,369,800 ",1.6,186.0,495.0,9.0,0.24,0.647,HS,"Kentwood HS (Covington, WA)"
J.P. Crawford(minors),2013,16,16,1,Phillies,SS,0.0,FrRnd,Y,"$2,299,300 ",10.4,451.0,1628.0,26.0,0.253,0.703,HS,"Lakewood HS (Lakewood, CA)"
Tim Anderson(minors),2013,17,17,1,White Sox,SS,0.0,FrRnd,Y,"$2,164,000 ",18.6,745.0,3015.0,96.0,0.289,0.765,JC,"East Central Community College (Decatur, MS)"
Nick Ciuffo(minors),2013,21,21,1,Rays,C,0.0,FrRnd,Y,"$1,972,200 ",-0.2,21.0,48.0,1.0,0.188,0.551,HS,"Lexington HS (Lexington, SC)"
Billy McKinney(minors),2013,24,24,1,Athletics,CF,0.0,FrRnd,Y,"$1,800,000 ",-0.3,263.0,690.0,28.0,0.206,0.664,HS,"Plano West Senior HS (Plano, TX)"
Christian Arroyo(minors),2013,25,25,1,Giants,SS,0.0,FrRnd,Y,"$1,866,500 ",1.3,181.0,547.0,19.0,0.234,0.685,HS,"Hernando HS (Brooksville, FL)"
Eric Jagielo(minors),2013,26,26,1,Yankees,3B,0.0,FrRnd,Y,"$1,839,400 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Notre Dame (South Bend, IN)"
Phil Ervin(minors),2013,27,27,1,Reds,CF,0.0,FrRnd,Y,"$1,812,400 ",0.4,237.0,586.0,17.0,0.247,0.728,4Yr,"Samford University (Homewood, AL)"
*Travis Demeritte(minors),2013,30,30,1,Rangers via Angels,SS,0.0,FrRnd,Y,"$1,900,000 ",-1.8,92.0,287.0,6.0,0.216,0.605,HS,"Winder-Barrow HS (Winder, GA)"
*Aaron Judge(minors),2013,32,32,1,Yankees via Indians,CF,0.0,FrRnd,Y,"$1,800,000 ",29.9,650.0,2362.0,187.0,0.277,0.945,4Yr,"California State University, Fresno (Fresno, CA)"
